ProlificID,r1_pred,r1_pred_t_First Click,r1_pred_t_Last Click,r1_pred_t_Page Submit,r1_pred_t_Click Count,r2_pred,r2_pred_t_First Click,r2_pred_t_Last Click,r2_pred_t_Page Submit,r2_pred_t_Click Count,r3_pred,r3_pred_t_First Click,r3_pred_t_Last Click,r3_pred_t_Page Submit,r3_pred_t_Click Count,r4_pred,r4_pred_t_First Click,r4_pred_t_Last Click,r4_pred_t_Page Submit,r4_pred_t_Click Count,r5_pred,r5_pret_t_First Click,r5_pret_t_Last Click,r5_pret_t_Page Submit,r5_pret_t_Click Count,r6_pred,r6_pred_t_First Click,r6_pred_t_Last Click,r6_pred_t_Page Submit,r6_pred_t_Click Count,r7_pred,r7_pred_t_First Click,r7_pred_t_Last Click,r7_pred_t_Page Submit,r7_pred_t_Click Count,attention_check,r8_pred,r8_pred_t_First Click,r8_pred_t_Last Click,r8_pred_t_Page Submit,r8_pred_t_Click Count,r9_pred,r9_pred_t_First Click,r9_pred_t_Last Click,r9_pred_t_Page Submit,r9_pred_t_Click Count,r10_pred,r10_pred_t_First Click,r10_pred_t_Last Click,r10_pred_t_Page Submit,r10_pred_t_Click Count,r11_v1,r11_pred_t_First Click,r11_pred_t_Last Click,r11_pred_t_Page Submit,r11_pred_t_Click Count,r12_pred,r12_pred_t_First Click,r12_pred_t_Last Click,r12_pred_t_Page Submit,r12_pred_t_Click Count,r13_pred,r13_pred_t_First Click,r13_pred_t_Last Click,r13_pred_t_Page Submit,r13_pred_t_Click Count,r14_pred,r14_pred_t_First Click,r14_pred_t_Last Click,r14_pred_t_Page Submit,r14_pred_t_Click Count,r15_pred,r15_pred_t_First Click,r15_pred_t_Last Click,r15_pred_t_Page Submit,r15_pred_t_Click Count,r16_pred,r16_pred_t_First Click,r16_pred_t_Last Click,r16_pred_t_Page Submit,r16_pred_t_Click Count,r17_pred,r17_pred_t_First Click,r17_pred_t_Last Click,r17_pred_t_Page Submit,r17_pred_t_Click Count,r18_pred,r18_pred_t_First Click,r18_pred_t_Last Click,r18_pred_t_Page Submit,r18_pred_t_Click Count,r19_pred,r19_pred_t_First Click,r19_pred_t_Last Click,r19_pred_t_Page Submit,r19_pred_t_Click Count,r20_pred,r20_pred_t_First Click,r20_pred_t_Last Click,r20_pred_t_Page Submit,r20_pred_t_Click Count,final_categorical,final_categorical_t_First Click,final_categorical_t_Last Click,final_categorical_t_Page Submit,final_categorical_t_Click Count,rewards,round,version
582c71a66ef28c00019a1068,1,1.794,1.794,2.947,1,2,2.171,2.171,2.812,1,2,1.317,1.317,1.893,1,1,1.445,2.094,2.76,2,1,1.004,1.004,1.757,1,1,0.54,0.54,1.114,1,2,1.013,1.013,1.793,1,11,2,0.808,0.808,1.865,1,2,0.855,0.855,1.772,1,1,0.911,0.911,1.435,1,1,0.77,0.77,1.968,1,1,0.857,0.857,1.663,1,1,0.912,0.912,2.009,1,1,1.531,1.531,2.627,1,2,0.892,1.639,1.985,2,2,1.156,1.156,2.061,1,1,0.727,0.727,1.822,1,2,0.9,0.9,2.041,1,2,0.694,1.723,2.158,2,2,0.815,0.815,1.522,1,2,3.963,3.963,4.9,1,0.5,21,3
66bce38cdb7f3309e448dc8d,1,3.409,3.409,4.789,1,1,2.069,2.069,3.632,1,2,0.905,0.905,1.749,1,2,1.247,1.247,2.292,1,1,1.446,1.446,2.201,1,2,1.707,1.707,2.436,1,2,1.997,1.997,3.075,1,11,2,5.785,5.785,7.097,1,2,2.432,2.432,3.478,1,1,10.722,10.722,11.852,1,1,1.45,1.45,2.345,1,1,2.041,2.041,3.036,1,2,0.982,0.982,2.044,1,1,1.155,1.155,2.233,1,1,1.178,1.178,1.972,1,2,0.78,0.78,1.66,1,2,1.495,1.495,2.522,1,1,1.484,1.484,2.544,1,2,1.297,1.297,2.36,1,1,1.176,1.176,2.189,1,2,4.455,4.455,5.6,1,0.3,21,2
6638068d9ab49383d1fe00ae,1,5.281,5.281,6.692,1,2,1.461,1.461,3.661,1,2,1.759,1.759,2.834,1,2,1.536,1.536,2.438,1,1,1.476,1.476,2.377,1,2,1.101,1.101,2.052,1,2,1.427,1.427,2.357,1,11,2,1.11,1.11,2.155,1,1,0.993,0.993,1.668,1,1,0.698,0.698,1.503,1,1,1.602,1.602,2.695,1,2,1.02,1.02,1.733,1,2,1.188,1.188,2.054,1,1,1.278,1.278,2.225,1,1,1.1,1.1,1.879,1,2,2.63,2.63,3.523,1,2,1.119,1.119,1.974,1,2,1.492,1.492,2.053,1,1,1.161,1.161,2.078,1,2,2.331,2.331,2.953,1,2,3.846,3.846,4.971,1,0.3,21,2
60cf3c8ed9f0c2b149342756,1,1.385,1.658,3.473,2,2,1.136,1.416,3.281,2,2,1.155,1.413,2.201,2,2,0.869,1.099,1.7,2,1,1.142,1.406,2.1,2,2,0.641,1.529,2.893,4,1,1.65,1.914,2.535,2,11,1,1.951,2.162,3.495,2,2,3.748,4.038,4.5,2,2,4.078,4.343,4.802,2,1,0.666,0.932,1.484,2,2,0.865,1.679,2.959,4,1,1.164,1.414,1.998,2,1,0.661,1.401,2.501,4,2,3.116,3.319,3.901,2,1,2.04,2.279,2.961,2,2,1.224,1.422,2.046,2,1,1.061,1.281,1.901,2,1,0.571,0.806,1.301,2,2,1.611,1.837,2.301,2,2,4.863,5.021,5.701,2,0.4,21,1
674e450b1a4a8e2d4e8d7e7c,1,8.351,8.351,10.141,1,1,3.982,3.982,6.121,1,1,2.258,2.258,3.646,1,1,1.216,1.216,2.388,1,2,2.069,2.069,3.158,1,1,1.754,1.754,2.91,1,2,1.08,1.08,2.202,1,11,1,1.937,1.937,2.959,1,1,1.769,1.769,3.158,1,1,2.119,2.119,3.191,1,1,1.293,1.293,2.582,1,1,1.404,1.404,2.212,1,1,1.132,1.132,1.989,1,1,1.065,1.065,2.001,1,2,1.403,1.403,2.309,1,2,1.195,1.195,2.318,1,1,0.742,2.61,3.466,2,2,1.356,1.356,2.327,1,1,1.289,1.289,2.195,1,1,1.093,1.093,1.998,1,1,4.546,4.546,5.718,1,0.35,21,2
66356ffe9661f0497f3860c8,2,2.943,2.943,4.444,1,2,1.825,1.825,3.475,1,1,1.745,1.745,2.701,1,1,1.135,1.135,2.138,1,1,1.611,1.611,2.631,1,1,0.811,0.811,2.077,1,2,1.412,1.412,2.655,1,11,2,1.276,1.276,2.263,1,1,0.793,0.793,1.864,1,2,0.786,0.786,1.581,1,1,0.585,0.585,1.625,1,1,0.86,0.86,1.847,1,1,0.629,0.629,1.501,1,1,1.266,1.266,2.004,1,1,1.066,1.066,2.517,1,1,1.208,1.208,2.28,1,2,4.889,4.889,5.844,1,2,2.13,2.13,3.198,1,1,1.982,1.982,3.259,1,1,1.514,1.514,2.165,1,2,6.104,6.104,7.385,1,0.65,21,1
6095fc75ab1d101e060d808b,2,4.578,4.578,5.548,1,1,0.615,0.615,1.179,1,1,0.767,0.767,1.481,1,2,0.487,0.487,0.998,1,2,0.641,0.641,1.235,1,1,0.601,0.923,1.562,2,2,0.465,0.465,1.209,1,11,2,0.652,1.192,1.523,2,1,0.347,0.347,1.016,1,2,0.559,0.559,1.138,1,2,0.447,0.928,1.176,2,1,0.455,1.227,1.746,3,2,0.594,0.594,1.173,1,1,0.608,0.608,1.209,1,1,0.687,0.687,1.318,1,1,0.622,0.817,1.403,2,2,0.79,0.79,1.437,1,1,1.034,1.034,1.538,1,2,0.485,0.485,1.131,1,2,0.831,0.831,2.235,1,2,2.91,2.91,3.766,1,0.65,21,1
6742864af334030ad769a482,1,2.631,2.631,3.892,1,2,1.483,1.483,2.398,1,2,1.971,1.971,2.969,1,2,1.226,1.226,2.347,1,2,1.102,1.843,2.34,2,2,1.131,1.131,2.442,1,2,1.276,1.276,2.197,1,11,2,1.621,1.621,2.565,1,2,1.226,1.226,2.264,1,2,1.213,1.213,2.137,1,2,1.272,1.272,2.272,1,2,1.352,1.352,2.229,1,2,1.87,1.87,2.841,1,2,1.175,1.175,2.163,1,1,1.059,1.059,1.815,1,1,0.793,0.793,1.763,1,1,1.123,1.123,2.164,1,2,1.48,1.48,2.314,1,2,1.018,1.018,1.967,1,2,1.06,1.06,1.907,1,2,2.573,2.573,3.67,1,0.5,21,1
5c3631cfa05b4a0001439cca,2,6.599,6.599,7.908,1,2,8.147,8.147,9.022,1,1,2.335,2.335,3.497,1,1,3.136,3.136,3.904,1,2,2.244,2.244,3.343,1,2,1.533,1.533,2.518,1,2,1.38,1.38,2.259,1,11,1,1.351,1.351,2.56,1,2,2.356,2.356,3.418,1,2,1.674,1.674,2.76,1,2,2.048,2.048,3.079,1,1,1.245,1.245,2.095,1,2,4.966,4.966,5.645,1,2,2.504,2.504,3.972,1,2,4.977,4.977,5.737,1,2,2.314,3.103,4.503,2,1,2.183,2.183,3.109,1,1,3.977,3.977,4.861,1,1,3.773,3.773,4.597,1,2,2.5,2.5,3.2,1,2,2.71,2.71,3.848,1,0.75,21,2
5c3388fa01439b0001a0adfe,1,4.356,4.356,5.377,1,1,1.368,2.997,3.716,2,1,4.805,4.805,6.736,1,2,1.769,1.769,4.891,1,2,2.284,4.002,4.641,2,2,1.425,1.425,3.374,1,2,1.188,1.188,3.026,1,11,2,1.124,2.594,3.172,2,2,1.368,1.368,2.615,1,2,1.945,1.945,3.101,1,2,2.035,2.035,3.502,1,2,0.98,0.98,2.562,1,2,0.802,1.569,2.396,2,2,0.999,2.016,2.968,2,2,1.963,13.605,14.75,2,2,5.405,5.405,6.825,1,2,0.986,0.986,1.73,1,2,0.749,0.749,1.887,1,2,2.611,2.611,3.639,1,2,1.204,1.894,2.558,2,1,4.867,4.867,5.993,1,0.45,21,2
60897a1d66afbbe1bb33a8e2,1,2.842,2.842,4.347,1,1,1.652,1.652,2.976,1,2,0.684,0.684,1.624,1,2,1.895,1.895,3.216,1,1,1.565,2.698,3.185,2,2,0.846,0.846,1.651,1,1,0.693,0.693,1.647,1,11,2,0.703,0.703,1.359,1,1,1.06,1.06,1.766,1,2,2.765,2.765,3.586,1,2,0.561,1.044,1.734,2,1,2.418,2.418,5.674,1,1,0.872,0.872,1.895,1,1,1.44,1.44,2.38,1,2,0.704,0.704,1.659,1,2,0.469,0.469,1.358,1,1,0.789,0.789,1.811,1,2,0.834,1.334,2.001,2,1,0.753,0.753,1.708,1,2,0.699,0.699,2.421,1,2,3.951,3.951,5.125,1,0.5,21,2
664a7e1665f30b00d2685ba3,1,6.143,6.143,7.896,1,1,4.616,4.616,5.796,1,2,2.93,2.93,4.35,1,2,4.948,4.948,6.394,1,1,1.692,1.692,2.966,1,1,1.144,1.144,2.425,1,1,4.63,4.63,5.971,1,11,2,0.997,0.997,1.928,1,2,1.113,1.113,2.227,1,1,0.948,0.948,1.68,1,2,2.571,2.571,3.785,1,1,0.99,0.99,1.961,1,1,1.255,1.255,2.227,1,1,1.247,1.247,2.326,1,2,1.002,1.002,1.846,1,1,1.323,1.323,2.641,1,2,1.677,1.677,2.789,1,1,1.457,1.457,2.701,1,2,1.379,1.379,2.77,1,1,0.915,0.915,1.849,1,2,6.072,6.072,7.563,1,0.5,21,3
59d308dcaeef3b0001021c1d,2,3.872,3.872,4.657,1,2,3.664,4.564,5.149,2,2,1.225,1.225,2.11,1,2,1.001,1.001,1.585,1,1,2.872,3.488,4.206,2,2,1.45,2.05,2.451,2,2,1.841,1.841,2.593,1,11,2,1.241,1.241,1.892,1,2,0.7,1.452,1.87,2,2,0.882,0.882,1.534,1,1,0.989,0.989,1.624,1,1,1.772,1.772,2.407,1,2,0.499,0.499,1.118,1,1,0.724,0.724,1.326,1,1,0.639,0.639,1.307,1,1,0.618,0.618,1.22,1,1,1.313,1.313,1.922,1,1,0.819,1.935,2.421,2,2,1.365,1.365,1.933,1,2,0.672,0.672,1.274,1,2,2.142,9.108,10.277,3,0.5,21,3
66456ef29dcbac0c77e64bf2,1,1.809,1.809,4.774,1,2,1.354,1.354,2.403,1,2,2.336,2.336,3.722,1,1,2.541,2.541,3.434,1,1,1.201,1.201,1.999,1,1,1.366,1.366,2.636,1,1,2.028,2.028,2.956,1,11,1,1.03,1.03,1.906,1,1,0.993,0.993,2.112,1,1,0.82,0.82,1.71,1,1,0.823,0.823,1.626,1,1,1.001,1.001,2.236,1,1,0.727,0.727,1.888,1,1,1.005,1.005,2.404,1,1,0.893,0.893,1.869,1,1,1.091,1.688,2.316,2,1,0.861,0.861,1.815,1,1,1.129,1.129,2.825,1,1,0.879,0.879,1.881,1,1,0.65,1.586,2.167,2,2,2.737,2.737,3.674,1,0.3,21,3
5efe44bebdee09152fe08acc,1,2.33,3.265,4.194,3,2,1.301,1.301,2.246,1,2,0.847,1.855,2.434,3,2,0.677,0.677,1.661,1,2,1.134,1.134,2.022,1,2,0.881,0.881,1.993,1,2,0.78,0.78,1.908,1,1,2,0.894,0.894,1.973,1,2,1.267,1.267,2.088,1,1,1.011,1.011,1.706,1,2,0.823,0.823,1.629,1,2,1.059,2.695,3.446,2,2,1.102,1.102,1.974,1,2,0.756,0.756,1.388,1,2,0.645,0.645,1.484,1,2,0.802,2.889,3.177,4,2,0.795,0.795,1.53,1,2,0.698,0.698,1.248,1,2,0.67,1.061,1.759,2,2,0.95,0.95,1.725,1,2,1.985,1.985,3.153,1,0.5,21,2
66312419d5e27d48fbc0a866,2,6.654,6.654,7.803,1,2,5.411,5.411,6.89,1,2,8.26,8.26,9.102,1,2,4.852,4.852,5.729,1,2,3.831,3.831,4.502,1,2,2.849,2.849,3.935,1,2,2.414,2.414,3.22,1,11,2,0.776,0.776,1.302,1,2,5.375,5.375,6.274,1,2,2.25,2.25,3.372,1,2,1.258,1.716,2.358,2,1,2.964,2.964,3.72,1,2,1.603,1.603,2.274,1,1,0.967,0.967,1.682,1,2,0.727,0.727,1.431,1,1,2.395,3.427,4.13,2,1,4.541,4.541,6.802,1,2,2.304,2.304,2.917,1,2,1.538,1.538,2.89,1,2,1.946,1.946,2.641,1,2,3.017,3.871,4.896,2,0.6,21,1
65714a2185b7c4c7ee00ddcd,2,2.928,2.928,5.146,1,2,2.225,2.225,4.23,1,2,2.19,2.19,4.101,1,2,1.67,1.67,3.08,1,2,1.913,1.913,3.437,1,2,1.889,1.889,3.832,1,2,2.04,2.04,3.405,1,11,2,2.14,2.14,3.934,1,2,1.882,1.882,3.624,1,2,2.159,2.159,3.866,1,2,1.671,1.671,3.228,1,1,1.788,1.788,3.055,1,1,1.996,1.996,3.62,1,1,2.255,2.255,3.879,1,1,1.87,1.87,3.132,1,1,1.662,1.662,2.701,1,1,2.58,2.58,3.925,1,2,2.263,2.263,3.972,1,2,2.488,2.488,4.077,1,2,1.939,1.939,3.564,1,2,6.226,6.226,8.931,1,0.6,21,1
672aa1d6adff363c5a26f9d5,1,3.508,4.122,4.392,2,2,0.593,1.376,1.591,2,1,0.486,0.486,0.901,1,1,0.777,1.327,1.754,2,2,0.557,0.557,1.533,1,2,0.723,1.256,1.508,2,2,0.666,2.105,2.316,2,11,1,0.952,1.493,1.704,2,1,0.654,0.654,1.717,1,2,0.65,0.65,1.297,1,1,0.437,1.027,1.357,2,1,0.472,0.472,1.309,1,1,0.425,0.425,0.801,1,1,0.724,0.724,1.411,1,1,0.632,1.415,1.709,2,2,0.438,0.438,1.122,1,2,0.823,2.284,2.655,4,1,0.656,0.656,1.284,1,1,0.901,0.901,1.492,1,1,0.501,1.746,2.53,4,1,3.242,4.153,4.518,2,0.45,21,2
5be728a4dbedc80001377337,1,2.201,3.771,4.2,3,2,1.877,2.399,3.064,2,2,0.994,1.462,2.07,2,2,0.802,1.495,2.061,2,1,1.701,2.322,2.968,2,2,0.801,1.426,1.992,2,2,0.802,1.486,2.052,2,11,2,1.468,2.012,2.676,2,2,0.691,1.2,1.701,2,2,0.74,1.257,1.84,2,1,0.701,1.303,1.844,2,2,0.836,1.283,1.85,2,2,0.905,1.412,2,2,1,0.733,1.234,1.928,2,1,0.702,1.313,1.921,2,2,0.779,1.226,1.791,2,2,1.199,1.705,2.287,2,1,1,1.582,2.133,2,2,1.647,2.027,2.545,2,2,1.602,2.346,3.171,2,2,2.981,2.981,4.131,1,0.6,21,1
655fa6bf1cfd3bd5343e7778,1,4.546,4.546,5.96,1,2,1.69,1.69,2.32,1,1,0.898,0.898,1.328,1,1,0.519,0.519,0.995,1,1,0.426,0.426,0.91,1,1,0.472,1.344,1.75,2,1,0.428,0.428,0.818,1,11,1,1.593,1.593,1.871,1,1,1.081,1.081,1.471,1,1,0.43,1.128,1.462,2,1,0.959,0.959,1.491,1,1,0.601,0.601,1.108,1,2,0.539,0.931,1.207,2,1,0.383,0.383,0.951,1,2,0.406,1.222,1.521,3,2,1.503,2.043,2.378,2,1,0.578,0.944,1.279,2,2,0.537,0.855,1.125,2,2,0.401,0.401,0.862,1,2,0.299,0.93,1.162,3,2,2.83,6.494,6.809,2,0.45,21,3
666b836f18949a2e08b6c741,1,4.369,4.369,5.749,1,2,3.207,3.207,4.036,1,2,1.179,1.179,2.175,1,2,1.755,1.755,2.592,1,2,1.254,1.254,2.33,1,2,1.168,1.168,2.3,1,2,1.353,1.353,2.438,1,11,2,1.344,1.344,2.58,1,2,1.401,1.401,2.446,1,2,1.102,2.429,3.433,2,2,1.85,1.85,2.862,1,2,1.62,1.62,2.648,1,2,0.957,0.957,1.865,1,2,1.228,1.228,2.145,1,2,1.41,1.41,2.286,1,2,1.608,1.608,2.94,1,2,1.27,1.27,2.275,1,2,1.166,1.166,2.106,1,2,0.916,0.916,1.601,1,2,0.912,0.912,1.779,1,2,3.873,3.873,4.905,1,0.55,21,1
