ProlificID,r1_pred,r1_pred_t_First Click,r1_pred_t_Last Click,r1_pred_t_Page Submit,r1_pred_t_Click Count,r2_pred,r2_pred_t_First Click,r2_pred_t_Last Click,r2_pred_t_Page Submit,r2_pred_t_Click Count,r3_pred,r3_pred_t_First Click,r3_pred_t_Last Click,r3_pred_t_Page Submit,r3_pred_t_Click Count,r4_pred,r4_pred_t_First Click,r4_pred_t_Last Click,r4_pred_t_Page Submit,r4_pred_t_Click Count,r5_pred,r5_pret_t_First Click,r5_pret_t_Last Click,r5_pret_t_Page Submit,r5_pret_t_Click Count,r6_pred,r6_pred_t_First Click,r6_pred_t_Last Click,r6_pred_t_Page Submit,r6_pred_t_Click Count,r7_pred,r7_pred_t_First Click,r7_pred_t_Last Click,r7_pred_t_Page Submit,r7_pred_t_Click Count,attention_check,r8_pred,r8_pred_t_First Click,r8_pred_t_Last Click,r8_pred_t_Page Submit,r8_pred_t_Click Count,r9_pred,r9_pred_t_First Click,r9_pred_t_Last Click,r9_pred_t_Page Submit,r9_pred_t_Click Count,r10_pred,r10_pred_t_First Click,r10_pred_t_Last Click,r10_pred_t_Page Submit,r10_pred_t_Click Count,r11_v1,r11_pred_t_First Click,r11_pred_t_Last Click,r11_pred_t_Page Submit,r11_pred_t_Click Count,r12_pred,r12_pred_t_First Click,r12_pred_t_Last Click,r12_pred_t_Page Submit,r12_pred_t_Click Count,r13_pred,r13_pred_t_First Click,r13_pred_t_Last Click,r13_pred_t_Page Submit,r13_pred_t_Click Count,r14_pred,r14_pred_t_First Click,r14_pred_t_Last Click,r14_pred_t_Page Submit,r14_pred_t_Click Count,r15_pred,r15_pred_t_First Click,r15_pred_t_Last Click,r15_pred_t_Page Submit,r15_pred_t_Click Count,r16_pred,r16_pred_t_First Click,r16_pred_t_Last Click,r16_pred_t_Page Submit,r16_pred_t_Click Count,r17_pred,r17_pred_t_First Click,r17_pred_t_Last Click,r17_pred_t_Page Submit,r17_pred_t_Click Count,r18_pred,r18_pred_t_First Click,r18_pred_t_Last Click,r18_pred_t_Page Submit,r18_pred_t_Click Count,r19_pred,r19_pred_t_First Click,r19_pred_t_Last Click,r19_pred_t_Page Submit,r19_pred_t_Click Count,r20_pred,r20_pred_t_First Click,r20_pred_t_Last Click,r20_pred_t_Page Submit,r20_pred_t_Click Count,r21_pred,r21_pred_t_First Click,r21_pred_t_Last Click,r21_pred_t_Page Submit,r21_pred_t_Click Count,r22_pred,r22_pred_t_First Click,r22_pred_t_Last Click,r22_pred_t_Page Submit,r22_pred_t_Click Count,r23_pred,r23_pred_t_First Click,r23_pred_t_Last Click,r23_pred_t_Page Submit,r23_pred_t_Click Count,r24_pred,r24_pred_t_First Click,r24_pred_t_Last Click,r24_pred_t_Page Submit,r24_pred_t_Click Count,final_categorical,final_categorical_t_First Click,final_categorical_t_Last Click,final_categorical_t_Page Submit,final_categorical_t_Click Count,rewards,round,version
64b1fcf39321437ac4ebaa8f,1,2.14,2.14,3.155,1,1,2.22,2.22,3.471,1,2,1.551,1.551,2.507,1,1,1.181,1.181,2.435,1,1,1.499,2.507,3.555,2,2,1.034,1.034,1.929,1,2,1.051,1.051,1.946,1,11,1,1.489,1.489,2.415,1,2,1.201,1.201,2.154,1,1,1.176,1.176,1.931,1,1,1.36,1.36,2.68,1,1,1.217,1.217,2.633,1,1,1.201,1.201,2.627,1,1,1.038,1.038,1.99,1,1,1.533,1.533,2.596,1,1,1.3,1.3,2.029,1,1,1.901,1.901,3.122,1,1,1.475,1.475,2.61,1,1,3.861,3.861,6.258,1,1,1.901,1.901,3.42,1,1,1.662,1.662,2.84,1,1,1.484,1.484,2.617,1,1,1.48,1.48,2.619,1,2,1.824,1.824,2.679,1,1,6.296,6.296,7.324,1,0.45,25,3
651eea44194fa8c200606af7,2,5.297,5.297,6.986,1,2,3.944,3.944,4.648,1,2,2.135,2.135,2.822,1,2,1.675,1.675,2.429,1,2,1.99,1.99,2.892,1,1,1.374,1.374,2.076,1,1,1.144,1.144,1.798,1,11,2,1.889,1.889,2.578,1,2,0.865,0.865,1.718,1,2,1.174,1.174,1.958,1,1,0.95,0.95,1.687,1,1,1.198,1.198,1.982,1,1,0.968,0.968,1.772,1,1,0.816,0.816,1.76,1,1,0.781,0.781,1.685,1,2,0.87,0.87,1.592,1,2,1.171,1.171,1.839,1,1,1.64,1.64,2.491,1,1,0.959,0.959,1.63,1,2,1.479,1.479,2.15,1,2,1.428,1.428,2.001,1,2,1.431,1.431,2.149,1,2,1.426,1.426,1.902,1,1,1.168,1.168,1.935,1,1,4.504,4.504,5.4,1,0.95,25,3
566c9284d408ea000519c6d7,1,1.745,1.745,2.552,1,2,0.922,0.922,1.588,1,2,0.863,1.875,2.525,2,2,0.916,0.916,1.85,1,2,1.076,1.076,1.686,1,2,0.705,0.705,1.314,1,2,0.671,0.671,1.28,1,11,2,1.148,1.148,1.87,1,1,0.578,0.578,1.204,1,1,0.933,0.933,1.647,1,1,0.567,0.567,1.289,1,2,0.699,0.699,1.325,1,2,0.896,0.896,1.586,1,2,0.721,0.721,1.523,1,2,0.688,0.688,1.385,1,2,0.684,0.684,1.277,1,2,0.618,0.618,1.221,1,2,0.598,0.598,1.249,1,2,0.518,0.518,1.039,1,2,0.561,0.561,1.35,1,2,0.609,0.609,1.315,1,2,0.54,0.54,1.158,1,2,0.533,0.533,1.182,1,2,0.564,0.564,1.223,1,2,2.339,2.339,3.021,1,0.5,25,2
63af5c586c05eee8c3d03730,1,3.756,3.756,5.252,1,1,2.094,2.094,3.246,1,1,1.471,1.471,2.992,1,1,2.213,2.213,3.914,1,2,1.924,1.924,3.642,1,2,1.858,1.858,2.995,1,1,2.36,2.36,3.496,1,11,2,2.284,2.284,3.482,1,1,2.154,2.154,3.889,1,2,1.679,1.679,3.4,1,1,2.725,2.725,4.502,1,1,1.97,1.97,3.9,1,2,1.903,1.903,3.261,1,2,2.112,2.112,3.499,1,1,2.519,2.519,4.259,1,1,2.226,2.226,3.8,1,2,2.005,2.005,3.57,1,2,4.653,4.653,6.04,1,1,3.027,3.027,4.597,1,1,2.169,2.169,3.926,1,1,4.524,4.524,6.446,1,2,1.927,5.642,7.7,3,1,2.162,2.162,3.724,1,2,2.574,2.574,3.769,1,2,4.375,4.375,5.791,1,0.7,25,1
5fa73d44bd817348afe7eb08,1,2.364,2.364,4.371,1,2,3.188,4.463,5.396,2,1,1.623,1.623,2.992,1,2,3.537,3.537,4.703,1,1,1.882,1.882,3.628,1,2,1.195,1.195,2.702,1,2,1.628,2.256,3.335,2,11,2,5.422,5.422,6.834,1,2,6.662,6.662,8.334,1,1,0.958,0.958,2.095,1,1,3.06,3.778,4.855,2,2,1.191,1.191,2.435,1,1,1.154,2.425,3.223,2,1,7.054,7.054,8.275,1,2,1.977,1.977,3.562,1,2,3.17,3.17,7.859,1,2,8.189,8.189,9.717,1,2,2.349,2.349,3.602,1,2,1.766,1.766,3.023,1,2,1.364,1.364,2.981,1,1,1.221,1.221,2.437,1,1,13.174,13.174,15.122,1,2,1.639,1.639,2.759,1,2,1.383,1.383,2.569,1,2,1.633,1.633,2.838,1,0.75,25,1
5a59305aeedc320001427f5f,1,0.223,2.999,3.7,3,2,11.939,11.939,13.426,1,1,0.959,0.959,1.663,1,1,0.766,0.766,1.47,1,2,1.135,1.135,1.872,1,2,0.878,0.878,1.501,1,2,1.161,1.161,2.234,1,11,2,1.04,1.04,1.848,1,2,1.04,1.04,1.928,1,2,0.849,0.849,1.756,1,2,0.871,0.871,2.656,1,2,1.09,1.09,2.025,1,2,0.922,0.922,1.76,1,2,0.878,0.878,1.766,1,2,0.906,0.906,1.701,1,2,0.833,0.833,1.638,1,2,1.437,1.437,2.201,1,2,0.943,0.943,1.78,1,2,0.908,0.908,1.594,1,2,0.752,0.752,1.459,1,2,1.052,1.052,2.036,1,2,0.997,0.997,2.201,1,2,0.738,0.738,1.946,1,2,1.085,1.085,1.974,1,1,7.301,7.301,8.324,1,0.65,25,3
676c9fdb29eb6558c47a3a25,1,2.196,3.61,4.787,2,2,1.093,1.749,2.937,2,2,1.113,1.113,2.29,1,2,1.151,1.151,2.36,1,2,1.269,1.269,2.412,1,2,1.08,1.08,2.123,1,1,1.625,1.625,2.434,1,11,2,1.032,1.032,2.09,1,1,1.313,1.313,2.44,1,1,1.425,1.425,2.218,1,2,0.983,0.983,2.226,1,2,1.032,1.032,2.008,1,2,1.132,1.132,1.939,1,1,0.872,0.872,1.964,1,2,1.011,1.011,2.204,1,2,1.008,1.008,2.569,1,2,1.002,1.002,1.977,1,2,0.933,0.933,1.757,1,1,0.868,0.868,2.278,1,1,1.159,1.841,2.953,2,1,1.193,1.193,2.402,1,2,1.179,1.179,2.155,1,2,1.245,1.245,2.42,1,2,1.127,1.127,2.154,1,2,3.78,3.78,5.472,1,0.5,25,2
65fe2f14b03790cc470f5c06,1,4.655,4.655,5.595,1,1,2.35,2.35,4.54,1,2,1.494,1.494,2.701,1,2,1.404,1.404,2.339,1,1,8.031,8.031,9.355,1,1,0.806,0.806,1.696,1,1,3.144,3.144,4.3,1,11,1,2.891,2.891,3.781,1,1,1.1,1.1,1.922,1,1,0.987,0.987,1.877,1,1,0.972,0.972,1.845,1,1,1.828,1.828,2.735,1,1,1.171,1.171,2.145,1,2,1.134,1.134,2.088,1,2,4.994,5.694,6.6,2,1,2.242,2.242,3.348,1,1,2.834,2.834,4.09,1,1,0.798,0.798,1.538,1,2,0.746,0.746,1.45,1,2,0.608,0.608,1.38,1,1,0.544,0.544,1.466,1,1,4.094,4.094,5.75,1,2,1.793,1.793,2.665,1,2,1.297,1.297,2.586,1,2,3.782,3.782,6.137,1,0.6,25,1
58d4c4c287b2420001263b6a,2,8.938,8.938,10.502,1,1,2.525,2.525,21.71,1,2,0.839,0.839,3.344,1,2,1.01,1.01,2.702,1,2,1.102,1.102,2.595,1,1,2.443,2.443,3.339,1,1,3.642,3.642,4.567,1,11,2,0.85,0.85,1.996,1,2,0.879,0.879,2.129,1,1,0.985,1.712,3.097,2,1,1.257,1.257,2.448,1,2,1.022,1.022,1.925,1,1,1.846,1.846,2.839,1,2,2.62,2.62,3.373,1,1,0.942,0.942,1.935,1,2,1.476,1.476,2.273,1,1,3.484,3.484,4.418,1,1,5.576,5.576,6.524,1,1,2.588,2.588,3.989,1,1,1.583,1.583,2.547,1,1,3.967,3.967,4.955,1,2,1.476,1.476,2.555,1,2,1.453,1.453,2.81,1,2,2.001,2.001,3.029,1,2,4.495,5.545,10.265,2,0.7,25,2
60bd80a54df9675c7f842774,2,3.324,3.324,4.166,1,2,1.599,1.599,2.604,1,2,0.874,0.874,1.519,1,2,0.72,0.72,1.453,1,2,0.52,0.52,1.384,1,2,0.575,0.575,1.121,1,2,0.648,0.648,1.251,1,11,2,0.87,0.87,1.532,1,2,0.774,0.774,1.355,1,2,0.55,0.55,1.043,1,2,0.612,0.612,1.295,1,2,0.666,0.666,1.237,1,2,0.597,0.597,1.333,1,2,0.551,0.551,1.125,1,2,0.532,0.532,1.091,1,2,0.7,0.7,1.208,1,2,0.726,0.726,1.37,1,2,0.683,0.683,2.072,1,2,0.523,0.523,1.135,1,2,0.847,0.847,1.69,1,2,0.487,1.008,1.363,2,2,0.565,0.565,1.361,1,2,0.773,0.773,1.523,1,2,0.719,0.719,1.243,1,2,3.271,3.271,4.175,1,0.7,25,1
664df2de088c4acb7473b3ff,2,4.777,6.659,8.1,2,2,1.811,1.811,2.687,1,2,1.385,1.385,2.269,1,2,1.719,1.719,2.817,1,1,4.626,4.626,5.414,1,1,0.964,0.964,1.7,1,1,1.511,1.511,2.099,1,11,2,1.896,1.896,2.686,1,1,2.501,2.501,3.493,1,1,4.406,4.406,5.058,1,2,1.2,1.2,1.862,1,2,2.117,2.117,2.807,1,1,3.177,3.177,3.804,1,1,0.945,0.945,1.799,1,2,1.064,1.622,1.838,2,2,1.502,1.502,2.365,1,1,1.093,1.093,1.897,1,2,5.343,6.483,6.875,3,1,1.392,1.392,1.956,1,1,1.701,1.701,2.416,1,1,0.758,1.186,1.904,2,2,1.38,2.05,2.461,2,2,0.883,0.883,1.612,1,2,1.054,1.054,2.085,1,2,3.426,3.426,4.696,1,0.65,25,2
60da4f9aa1ced7efeecca18a,2,5.207,5.207,6.312,1,1,5.638,6.957,7.796,2,1,1.341,1.341,2.463,1,1,1.208,1.208,2.23,1,2,0.739,0.739,1.697,1,2,1.953,2.314,3.519,2,2,0.887,0.887,1.883,1,11,2,1.054,1.054,1.99,1,2,1.138,1.138,2.194,1,2,0.876,0.876,1.884,1,2,1.09,1.09,2.065,1,2,0.991,0.991,2.181,1,2,1.12,1.12,2.115,1,2,0.828,0.828,1.8,1,1,0.864,0.864,1.736,1,2,0.958,0.958,1.947,1,1,1.212,1.212,2.167,1,2,1.465,1.465,2.539,1,1,1.255,1.255,2.296,1,1,1.02,1.02,1.98,1,1,0.923,0.923,2.044,1,2,0.731,0.731,1.654,1,2,0.78,0.78,1.988,1,2,1.071,1.071,2.029,1,2,1.94,1.94,3.561,1,0.4,25,3
669619601ab688fdc42bed2d,2,3.708,3.708,5.589,1,2,1.824,4.048,5.153,2,2,1.079,1.079,2.018,1,2,1.108,1.108,1.926,1,2,0.913,0.913,1.932,1,2,0.788,0.788,1.641,1,2,0.615,0.615,1.363,1,11,2,1.169,1.169,2.064,1,2,0.836,1.807,2.413,2,2,0.679,0.679,1.712,1,2,0.72,0.72,1.688,1,2,2.047,2.047,2.802,1,2,0.824,0.824,1.751,1,2,0.704,2.07,3.134,2,2,0.693,0.693,1.673,1,2,0.946,0.946,1.633,1,2,0.771,1.3,2.128,2,2,0.661,0.661,1.568,1,1,0.607,0.607,1.216,1,2,0.844,0.844,1.48,1,1,0.722,0.722,1.667,1,2,0.742,0.879,1.581,2,1,0.862,1.136,2.85,2,2,0.527,0.527,1.422,1,1,3.705,3.705,4.975,1,0.6,25,3
631a9f635762d2b83a53202b,2,5.107,5.107,6.066,1,1,3.1,3.1,4.265,1,1,0.985,0.985,1.865,1,2,1.635,1.635,2.47,1,1,0.55,0.55,1.499,1,2,4.051,4.051,4.919,1,2,1.282,1.282,2.065,1,11,1,3.781,3.781,4.517,1,2,0.768,0.768,1.636,1,2,1.196,1.196,1.983,1,2,7.817,7.817,8.707,1,2,1.615,2.505,2.907,2,1,3.655,4.104,5.157,2,2,1.311,1.311,2.839,1,2,1.968,1.968,2.876,1,1,1.54,2.773,3.408,2,1,1.584,1.584,2.693,1,1,0.794,0.794,1.736,1,1,0.592,0.592,1.561,1,2,4.604,4.604,5.811,1,2,1.146,1.146,2.472,1,2,3.427,3.427,4.141,1,2,3.246,3.246,4.335,1,2,1.325,1.325,2.051,1,2,2.645,2.645,12.575,1,0.6,25,1
66c1c5cb4b460dacc8290b9e,2,5.056,5.056,6.066,1,1,9.533,9.533,11.107,1,2,0.683,0.683,1.811,1,1,0.462,0.462,1.292,1,1,3.427,3.427,4.183,1,2,0.567,0.567,1.89,1,1,0.931,0.931,1.862,1,11,1,0.499,0.499,1.464,1,1,0.783,0.783,1.496,1,2,1.242,1.242,2.746,1,2,0.504,0.504,1.562,1,1,1.366,1.366,2.381,1,2,1.823,1.823,2.611,1,2,1.058,1.058,2.05,1,1,0.552,0.552,2.078,1,1,0.696,0.696,1.823,1,2,0.964,1.503,2.56,2,2,0.599,0.599,2.049,1,1,0.003,0.256,1.107,2,1,0.405,0.405,1.295,1,1,0.712,0.712,1.725,1,1,0.37,0.37,1.378,1,2,0.916,0.916,1.726,1,2,0.516,1.306,1.768,2,1,3.921,3.921,4.705,1,0.35,25,3
