ProlificID,r1_pred,r1_pred_t_First Click,r1_pred_t_Last Click,r1_pred_t_Page Submit,r1_pred_t_Click Count,r2_pred,r2_pred_t_First Click,r2_pred_t_Last Click,r2_pred_t_Page Submit,r2_pred_t_Click Count,r3_pred,r3_pred_t_First Click,r3_pred_t_Last Click,r3_pred_t_Page Submit,r3_pred_t_Click Count,r4_pred,r4_pred_t_First Click,r4_pred_t_Last Click,r4_pred_t_Page Submit,r4_pred_t_Click Count,r5_pred,r5_pret_t_First Click,r5_pret_t_Last Click,r5_pret_t_Page Submit,r5_pret_t_Click Count,r6_pred,r6_pred_t_First Click,r6_pred_t_Last Click,r6_pred_t_Page Submit,r6_pred_t_Click Count,r7_pred,r7_pred_t_First Click,r7_pred_t_Last Click,r7_pred_t_Page Submit,r7_pred_t_Click Count,attention_check,r8_pred,r8_pred_t_First Click,r8_pred_t_Last Click,r8_pred_t_Page Submit,r8_pred_t_Click Count,r9_pred,r9_pred_t_First Click,r9_pred_t_Last Click,r9_pred_t_Page Submit,r9_pred_t_Click Count,r10_pred,r10_pred_t_First Click,r10_pred_t_Last Click,r10_pred_t_Page Submit,r10_pred_t_Click Count,r11_v1,r11_pred_t_First Click,r11_pred_t_Last Click,r11_pred_t_Page Submit,r11_pred_t_Click Count,r12_pred,r12_pred_t_First Click,r12_pred_t_Last Click,r12_pred_t_Page Submit,r12_pred_t_Click Count,r13_pred,r13_pred_t_First Click,r13_pred_t_Last Click,r13_pred_t_Page Submit,r13_pred_t_Click Count,r14_pred,r14_pred_t_First Click,r14_pred_t_Last Click,r14_pred_t_Page Submit,r14_pred_t_Click Count,r15_pred,r15_pred_t_First Click,r15_pred_t_Last Click,r15_pred_t_Page Submit,r15_pred_t_Click Count,r16_pred,r16_pred_t_First Click,r16_pred_t_Last Click,r16_pred_t_Page Submit,r16_pred_t_Click Count,final_categorical,final_categorical_t_First Click,final_categorical_t_Last Click,final_categorical_t_Page Submit,final_categorical_t_Click Count,rewards,round,version
67127209cee9ddb1711047f8,2,5.957,5.957,6.882,1,1,3.792,3.792,4.753,1,2,3.421,3.421,4.689,1,2,2.886,2.886,3.801,1,1,1.816,1.816,3.267,1,1,0.828,0.828,1.784,1,2,1.063,1.063,2.018,1,11,2,3.362,4.348,4.855,2,2,4.598,4.598,5.377,1,1,1.732,1.732,2.431,1,2,0.872,0.872,2.332,1,1,2.268,2.268,2.969,1,2,0.927,1.847,2.198,2,1,1.074,1.074,2.488,1,2,1.052,1.052,1.96,1,1,0.516,0.516,1.428,1,2,7.217,7.217,9.91,1,0.55,17,3
5884593bd920ed0001fdccb4,2,3.777,3.777,4.558,1,1,2.455,2.455,3.701,1,2,24.168,24.168,25.267,1,1,1.122,1.122,1.999,1,1,4.47,4.47,5.489,1,2,2.551,2.551,3.418,1,1,1.065,1.065,1.878,1,11,2,7.999,7.999,9.674,1,2,0.852,0.852,1.849,1,1,2.061,2.765,5.114,2,2,1.053,1.941,2.297,2,1,0.849,0.849,2.111,1,2,1.059,1.059,1.862,1,1,1.37,1.37,2.318,1,2,0.973,0.973,1.889,1,1,1.674,2.162,3.199,2,2,2.156,2.156,6.271,1,0.5,17,1
66293cef3c0a757dea883538,2,4.87,4.87,5.992,1,1,6.302,6.302,7.391,1,2,2.283,2.283,3.31,1,1,1.478,1.478,2.569,1,2,1.098,1.098,2.007,1,1,1.03,1.03,1.976,1,2,1.473,1.473,2.394,1,11,1,1.027,1.027,1.886,1,1,1.179,1.179,2.117,1,2,0.998,0.998,1.951,1,1,1.715,1.715,2.582,1,1,0.755,0.755,1.534,1,1,0.896,0.896,1.612,1,1,0.818,0.818,1.484,1,2,1.27,1.27,2.056,1,2,0.93,0.93,1.644,1,2,5.489,5.489,6.355,1,0.45,17,2
67e0a7230db1221a71fc885f,1,3.675,5.868,7.002,3,2,3.347,5.353,6.396,3,1,1.706,2.681,3.5,3,1,1.092,4.071,4.901,3,2,1.035,2.345,2.899,3,1,1.638,2.493,3.401,3,1,2.844,3.145,4.601,2,11,2,1.253,2.688,3.501,3,1,1.113,1.501,2.5,3,1,1.516,2.972,3.701,4,2,0.993,1.241,2.701,2,1,0.958,2.795,4,4,2,1.061,1.323,2.5,2,1,1.786,2.052,3.201,2,2,1.233,1.4,3.1,2,1,1.197,1.461,2.6,2,2,6.652,6.935,9.2,2,0.6,17,3
60e8b06bfb1c78d450ae9f79,1,1.362,4.485,4.904,3,2,1.383,1.383,2.47,1,1,1.973,1.973,2.971,1,2,1.293,1.293,2.456,1,1,1.756,1.756,3.113,1,1,1.43,1.43,2.53,1,1,1.084,1.084,2.04,1,11,1,2,2,3.145,1,1,1.284,1.284,2.32,1,1,1.134,1.134,3.366,1,1,1.259,1.259,2.315,1,2,1.284,1.284,2.025,1,2,1.262,1.262,1.982,1,2,1.179,1.179,2.173,1,1,1.666,1.666,2.593,1,2,1.101,1.101,1.887,1,2,4.93,4.93,6.115,1,0.3,17,2
5f326f3697c53601f394368a,2,3.433,3.433,4.801,1,2,3.359,3.359,4.918,1,1,3.647,3.647,4.814,1,2,1.649,1.649,2.574,1,1,1.791,1.791,2.981,1,2,2.027,2.027,2.989,1,1,1.927,1.927,2.894,1,11,1,2.124,2.124,3.03,1,2,2.659,2.659,3.573,1,1,1.532,1.532,2.559,1,1,2.348,2.348,3.38,1,2,1.691,2.227,3.053,2,1,1.667,2.058,3.162,2,2,2.07,2.07,3.052,1,1,0.996,0.996,1.805,1,2,1.701,1.701,2.68,1,2,4.878,4.878,5.75,1,0.4,17,3
67ceb35b4792192fccbb19c9,2,6.175,6.175,7.475,1,1,6.018,6.018,7.501,1,2,1.915,1.915,3.258,1,2,5.052,5.052,6.316,1,1,1.988,1.988,3.241,1,2,2.825,2.825,4.069,1,2,1.863,3.415,4.533,2,11,2,1.835,1.835,3.722,1,1,4.452,4.452,6.031,1,2,8.263,8.263,9.451,1,2,1.251,1.251,2.599,1,1,1.902,1.902,3.079,1,1,1.157,3.332,4.23,3,1,0.917,0.917,2.524,1,2,1.623,1.623,2.946,1,1,1.081,1.081,2.245,1,2,3.442,3.442,4.72,1,0.55,17,1
5e54dced73aedb4d4b807060,2,4.35,4.35,5.182,1,2,0.87,0.87,1.877,1,1,0.779,0.779,2.673,1,1,0.977,0.977,1.755,1,2,0.854,0.854,1.693,1,2,0.66,0.66,1.515,1,2,0.585,0.585,1.472,1,11,1,0.851,0.851,1.994,1,1,0.701,0.701,1.845,1,2,0.943,0.943,1.683,1,1,0.909,0.909,1.64,1,2,1.296,1.296,2.087,1,2,0.599,1.249,1.525,2,1,0.582,0.582,1.303,1,2,0.834,0.834,1.767,1,1,0.532,0.532,1.207,1,2,6.401,6.401,7.874,1,0.35,17,2
5e8a1827052175000938eb91,1,5.838,5.838,6.932,1,1,1.954,1.954,2.56,1,2,0.568,0.568,1.103,1,2,0.789,1.461,1.625,2,1,0.691,1.163,1.328,2,2,0.958,0.958,1.478,1,1,0.902,0.902,1.403,1,11,1,4.977,5.537,5.798,2,2,0.923,0.923,1.496,1,2,0.51,0.51,1.09,1,2,1.727,1.727,2.266,1,2,0.669,0.669,1.314,1,2,0.674,0.674,1.287,1,2,0.815,0.815,1.347,1,2,3.08,3.08,3.572,1,1,0.639,1.55,2.115,2,2,2.321,2.761,4.029,2,0.4,17,3
5e6d8c46f93a0c35d1f82335,1,3.909,3.909,6.35,1,2,1.201,1.201,3.402,1,2,1.272,1.925,3.709,2,1,1.33,1.33,2.575,1,1,1.182,1.182,2.043,1,1,1.228,1.228,1.992,1,1,1.294,1.294,2.41,1,11,1,1.622,1.622,2.637,1,1,1.417,1.417,2.289,1,1,1.519,1.519,2.811,1,1,1.444,1.444,2.356,1,1,1.278,1.278,2.203,1,1,1.637,1.637,2.653,1,1,1.714,1.714,2.849,1,1,1.22,1.22,2.536,1,1,1.876,1.876,3.076,1,2,3.907,3.907,7.047,1,0.3,17,3
675c15e099767573c1619b7f,1,0.68,0.68,1.914,1,1,0.819,1.338,1.912,2,2,0.718,0.718,1.61,1,1,0.755,3.062,3.513,3,1,0.794,0.794,1.695,1,1,0.8,0.8,1.712,1,2,0.591,1.543,1.804,2,11,2,27.202,27.202,27.821,1,1,0.924,1.622,2.214,2,1,0.725,0.725,1.599,1,2,1.273,1.884,2.313,2,2,0.767,1.225,1.609,2,1,1.141,1.141,2.005,1,1,2.187,2.832,3.202,2,1,2.426,2.811,3.361,2,1,0.88,2.049,2.503,3,1,3.316,3.529,4.106,2,0.55,17,1
649d257f5e8bfe6ee264e160,2,2.494,2.494,3.235,1,2,0.962,0.962,1.654,1,2,0.778,0.778,1.484,1,1,2.602,3.458,3.947,2,1,1.269,1.269,2.005,1,2,0.035,0.946,1.434,2,2,0.895,0.895,1.674,1,11,2,1.026,1.617,1.841,2,2,0.775,0.775,1.336,1,2,0.506,0.506,1.011,1,2,0.584,0.584,0.996,1,2,2.037,2.037,2.312,1,2,0.759,0.759,1.605,1,2,1.414,1.414,2.069,1,2,0.96,1.555,1.936,3,2,0.706,0.706,1.645,1,2,2.001,2.001,2.981,1,0.4,17,3
667eb91e3db4b82021840853,1,4.357,4.357,5.722,1,1,0.949,1.96,4.031,2,1,1.159,1.159,2.02,1,2,1.459,1.459,4.157,1,2,0.945,0.945,1.704,1,1,0.814,0.814,1.671,1,1,0.962,0.962,1.673,1,11,2,0.925,0.925,1.735,1,2,0.869,0.869,1.694,1,2,0.645,0.645,1.578,1,1,0.604,0.604,1.465,1,2,0.613,0.784,1.416,2,1,0.69,0.69,1.402,1,1,0.711,0.711,1.573,1,2,0.7,1.607,2.575,2,1,1.054,1.054,2.396,1,2,3.873,4.51,5.498,2,0.45,17,2
6400f14b24ac2b910c9f2d93,2,11.265,11.265,12.56,1,2,1.746,1.746,2.609,1,2,1.389,1.389,2.104,1,2,2.45,4.883,5.611,3,2,1.162,1.162,2.003,1,2,0.928,0.928,1.78,1,2,1.102,1.102,2.051,1,11,2,1.192,1.192,1.897,1,2,1.12,1.12,1.954,1,2,1.043,1.043,1.872,1,2,1.4,1.4,2.437,1,2,0.93,0.93,1.785,1,2,0.636,0.636,1.426,1,2,1.429,1.429,2.268,1,2,1.003,1.003,1.891,1,2,1.021,1.021,2.335,1,2,5.695,5.695,7.087,1,0.5,17,1
678af0a3161e3e871bbade54,1,5.728,5.728,6.66,1,1,1.618,3.762,4.507,2,2,1.357,1.357,2.197,1,2,1.565,1.565,2.321,1,1,1.808,1.808,2.645,1,1,0.874,0.874,1.748,1,2,1.066,1.066,1.967,1,11,1,3.731,3.731,4.725,1,1,1.297,2.98,3.96,2,2,1.306,1.306,7.197,1,2,1.397,1.397,2.394,1,1,1.36,1.36,2.172,1,1,1.261,1.261,2.102,1,2,1.566,1.566,2.304,1,1,1.155,1.155,2.104,1,2,1.327,1.327,2.12,1,1,8.818,10.02,10.916,2,0.45,17,1
5fbb2540b981f7c1e0fca5ff,2,4.245,4.245,5.31,1,2,2.153,2.153,3.564,1,2,1.349,1.349,2.532,1,2,1.565,1.565,4.852,1,2,1.262,1.262,2.284,1,2,1.188,1.756,2.75,2,2,1.434,1.434,2.323,1,11,2,1.274,1.274,2.324,1,2,1.195,1.195,2.26,1,2,1.248,1.248,2.203,1,2,1.118,1.118,2.095,1,2,1.332,1.332,2.234,1,1,0.978,0.978,2.106,1,2,0.909,0.909,1.925,1,2,1.074,1.074,1.874,1,2,1.106,1.106,2.103,1,2,3.781,3.781,4.82,1,0.45,17,3
6760981a3e2500d4057d41be,1,4.97,4.97,5.78,1,2,2.288,2.288,3.241,1,2,7.471,7.471,8.176,1,1,11.905,11.905,13.08,1,1,1.916,1.916,2.503,1,1,5.638,6.607,7.291,3,1,1.436,1.436,2.346,1,11,2,1.908,2.951,3.378,2,1,0.909,1.456,2.173,2,1,1.714,1.714,2.861,1,2,1.122,1.122,1.933,1,2,1.89,3.37,4.637,2,1,0.785,0.785,1.91,1,2,0.963,0.963,1.814,1,2,0.919,1.808,2.498,3,2,1.307,1.307,2.045,1,2,4.936,5.368,6.547,2,0.5,17,1
660eaf77444e1d65f167a2ca,2,5.073,5.073,7.013,1,1,6.285,6.285,7.537,1,1,3.153,3.153,5.262,1,1,4.221,4.221,5.589,1,1,4.371,6.015,7.924,2,2,3.084,3.084,5.103,1,1,2.501,2.501,3.753,1,11,1,2.183,4.261,5.488,2,1,3.688,3.688,5.45,1,2,1.823,1.823,3.244,1,1,2.46,2.46,3.905,1,1,2.289,2.289,3.594,1,1,4.061,4.061,5.838,1,1,6.684,6.684,8.822,1,1,2.025,2.025,3.334,1,2,2.452,2.452,3.8,1,2,4.799,4.799,6.731,1,0.2,17,1
63614d7ed7516f2df577dd64,1,7.494,7.494,8.583,1,2,2.471,2.471,4.301,1,2,1.156,1.156,2.396,1,2,1.071,1.071,2.663,1,2,1.416,1.416,2.225,1,2,1.024,1.024,1.871,1,1,0.763,0.763,1.779,1,11,2,0.927,0.927,2.023,1,1,1.222,1.222,2.38,1,1,0.856,0.856,1.994,1,2,1.472,1.472,2.525,1,2,0.613,0.613,1.539,1,1,0.9,0.9,1.887,1,1,1.069,1.069,2.001,1,1,1.024,1.024,1.925,1,1,1.044,1.044,2.011,1,2,3.647,3.647,5.048,1,0.4,17,1
5fc43976862e3e7756f5d661,1,1.451,1.451,2.362,1,2,1.161,1.161,2.693,1,2,1.051,1.051,2.146,1,1,0.91,0.91,2.092,1,1,1.156,1.156,2.762,1,1,1.404,1.404,2.459,1,2,1.159,1.159,2.198,1,11,2,0.921,0.921,2.031,1,2,2.534,2.534,3.544,1,1,2.629,2.629,3.498,1,2,0.586,0.586,1.628,1,1,0.784,0.784,1.915,1,1,1.043,1.043,1.769,1,1,0.403,0.904,1.752,2,2,3.566,3.566,4.421,1,2,4.436,4.436,5.475,1,2,4.013,4.013,5.071,1,0.4,17,3
681ae0b6cf95dda70f860d9c,2,10.802,10.802,13.622,1,2,12.241,12.241,19.001,1,1,8.596,8.596,10.789,1,1,1.98,1.98,3.881,1,2,2.139,2.139,3.714,1,1,1.598,1.598,2.839,1,2,6.701,6.701,8.111,1,11,1,9.7,9.7,11.074,1,1,12.252,12.252,13.429,1,2,2.196,2.196,3.16,1,1,2.494,2.494,3.429,1,2,3.921,3.921,4.823,1,1,1.446,1.446,2.248,1,2,1.956,1.956,2.803,1,2,1.3,1.3,2.29,1,2,2.9,2.9,3.904,1,2,13.627,13.627,17.33,1,0.45,17,2
